bc,sample,Celltype,Phase
412017,G13,LMPP,G2M
144647,NTC,LMPP,G2M
302019,NTC,LMPP,G2M
705205,AZD,LMPP,G2M
77267,NTC,LMPP,G1
645817,NTC,LMPP,S
308543,G13,LMPP,G2M
116657,NTC,LMPP,G2M
531917,G13,LMPP,S
584978,G13,MEP1,S
774442,AZD,LMPP,S
583767,NTC,LMPP,S
605655,G13,MEP1,S
738417,AZD,LMPP,G2M
542662,G13,LMPP,G1
458016,NTC,LMPP,S
68275,NTC,LMPP,G2M
350775,G13,LMPP,G2M
222710,G13,LMPP,S
588033,NTC,LMPP,G1
210978,NTC,MEP1,S
585207,AZD,LMPP,G2M
267678,NTC,LMPP,G2M
75879,G13,LMPP,G2M
453438,AZD,LMPP,S
540743,NTC,LMPP,S
494473,AZD,LMPP,G2M
191142,G13,LMPP,G2M
845555,NTC,LMPP,G2M
463817,G13,LMPP,S
229769,NTC,LMPP,G2M
51979,G13,LMPP,S
326034,NTC,LMPP,G2M
354908,NTC,LMPP,S
594763,G13,LMPP,G2M
623929,AZD,LMPP,G2M
427916,NTC,LMPP,S
571235,AZD,LMPP,S
409195,NTC,LMPP,G2M
141125,NTC,LMPP,G1
528451,AZD,LMPP,G2M
741011,NTC,LMPP,S
545460,NTC,LMPP,S
144451,AZD,LMPP,S
93857,G13,LMPP,S
730479,G13,MEP1,S
156205,AZD,LMPP,G2M
503722,AZD,LMPP,G2M
446732,NTC,LMPP,S
584767,NTC,LMPP,S
565627,AZD,MEP1,G2M
861813,AZD,CMP,G2M
304411,G13,LMPP,S
109322,G13,LMPP,S
99413,NTC,LMPP,G1
715931,G13,LMPP,S
618347,G13,LMPP,S
586722,AZD,LMPP,G2M
139317,NTC,LMPP,G2M
509521,AZD,LMPP,G2M
77720,G13,LMPP,S
444177,NTC,LMPP,G2M
412036,NTC,LMPP,G2M
285450,G13,LMPP,S
478600,NTC,LMPP,G2M
562514,NTC,LMPP,S
457882,NTC,LMPP,S
581833,AZD,LMPP,S
588524,NTC,LMPP,G2M
555071,AZD,LMPP,G2M
544069,AZD,LMPP,G1
441790,AZD,LMPP,S
469536,AZD,MEP1,G2M
170386,AZD,MEP1,G1
157605,G13,CMP,G2M
207893,G13,LMPP,G2M
469729,AZD,LMPP,S
657832,G13,LMPP,S
506275,AZD,MEP1,S
431472,NTC,LMPP,S
811796,G13,LMPP,G2M
99100,AZD,LMPP,G2M
75901,G13,LMPP,G2M
546787,NTC,MEP1,S
19604,AZD,LMPP,G2M
589955,AZD,LMPP,G2M
645689,AZD,LMPP,S
328285,G13,CMP,G2M
139644,NTC,LMPP,S
445327,NTC,LMPP,S
744831,AZD,LMPP,S
270423,NTC,MEP1,G2M
255887,NTC,CMP,G2M
3916,G13,MEP1,S
594101,AZD,LMPP,G1
34628,NTC,LMPP,G2M
222352,AZD,CMP,G2M
349989,NTC,LMPP,S
568271,AZD,LMPP,S
564070,G13,LMPP,G2M
307628,NTC,LMPP,G2M
37178,G13,CMP,G2M
25906,G13,LMPP,S
721641,G13,LMPP,G2M
305457,G13,LMPP,G1
583039,AZD,LMPP,G2M
201986,AZD,LMPP,G1
597740,G13,LMPP,S
536337,G13,LMPP,S
78710,NTC,LMPP,G2M
427280,G13,LMPP,S
267947,G13,LMPP,G2M
200723,G13,MEP1,S
752207,NTC,LMPP,G2M
505050,AZD,LMPP,G2M
430630,G13,CMP,G2M
356830,AZD,LMPP,S
222715,NTC,LMPP,G2M
657494,NTC,LMPP,S
204255,NTC,LMPP,G2M
552081,NTC,LMPP,S
232102,NTC,LMPP,G2M
143397,AZD,MEP1,S
840913,G13,LMPP,S
500664,G13,MEP1,S
54660,AZD,LMPP,S
355500,NTC,LMPP,S
275390,NTC,LMPP,S
350961,G13,LMPP,G1
615284,AZD,LMPP,G2M
812537,AZD,MEP1,G2M
616813,NTC,LMPP,S
635558,NTC,LMPP,G2M
529092,G13,LMPP,S
9191,G13,LMPP,S
76102,AZD,LMPP,S
611425,NTC,LMPP,G2M
221406,NTC,CMP,G2M
662166,AZD,MEP1,G2M
705284,NTC,LMPP,S
87189,G13,LMPP,G2M
268597,AZD,LMPP,S
355419,G13,LMPP,S
7848,G13,LMPP,S
227756,NTC,LMPP,S
74426,NTC,LMPP,S
565028,AZD,LMPP,G1
142898,AZD,MEP1,G2M
351868,G13,LMPP,S
652790,G13,MEP1,G2M
629793,NTC,LMPP,G2M
589225,AZD,LMPP,S
814763,G13,LMPP,G1
205693,AZD,LMPP,G2M
654318,NTC,LMPP,G2M
506841,AZD,LMPP,S
209030,NTC,LMPP,G2M
461615,NTC,LMPP,G2M
142761,NTC,LMPP,G2M
409990,NTC,LMPP,S
856061,AZD,LMPP,S
255165,NTC,LMPP,S
541475,G13,LMPP,S
1587,NTC,LMPP,G2M
100117,G13,LMPP,G2M
550150,NTC,LMPP,G2M
621073,NTC,LMPP,G2M
713398,AZD,MEP1,G2M
624101,G13,MEP1,G2M
138425,NTC,LMPP,G2M
547658,AZD,LMPP,S
524328,NTC,LMPP,G2M
370283,AZD,LMPP,G2M
146107,NTC,LMPP,G2M
561178,AZD,MEP1,G2M
649250,NTC,LMPP,G2M
389910,AZD,LMPP,G2M
152733,NTC,LMPP,S
622806,NTC,LMPP,S
221583,G13,LMPP,G2M
548205,G13,LMPP,G2M
844539,AZD,MEP1,S
396356,G13,MEP1,G2M
713998,NTC,LMPP,G2M
190837,NTC,LMPP,G2M
120126,NTC,LMPP,G2M
466191,NTC,LMPP,G2M
756717,NTC,LMPP,G1
103655,G13,LMPP,S
537859,AZD,LMPP,S
628134,NTC,LMPP,G2M
201935,AZD,LMPP,G2M
658050,AZD,LMPP,G2M
152341,AZD,LMPP,S
100250,NTC,LMPP,G2M
576916,G13,LMPP,G2M
45312,NTC,MEP1,G2M
571469,AZD,LMPP,S
5090,NTC,MEP1,S
222239,G13,LMPP,G2M
430503,AZD,LMPP,G2M
431407,NTC,LMPP,G2M
19332,G13,LMPP,S
167347,NTC,MEP1,S
542987,AZD,MEP1,S
362786,NTC,LMPP,G2M
505019,G13,LMPP,S
347532,NTC,LMPP,G2M
459740,G13,LMPP,S
210190,NTC,LMPP,S
550662,AZD,LMPP,G2M
663099,NTC,LMPP,G2M
8466,AZD,LMPP,G2M
116521,G13,LMPP,G2M
490805,G13,LMPP,S
450768,NTC,CMP,G2M
398355,G13,LMPP,G2M
260479,AZD,LMPP,G2M
8649,G13,LMPP,S
76558,G13,LMPP,S
17149,NTC,LMPP,S
49255,NTC,LMPP,G2M
413460,G13,MEP1,S
839561,NTC,LMPP,S
460325,AZD,LMPP,S
562167,G13,LMPP,S
545153,NTC,LMPP,S
110494,G13,MEP1,S
541594,NTC,LMPP,S
586953,NTC,LMPP,S
149460,NTC,LMPP,G2M
846239,AZD,LMPP,S
405762,G13,LMPP,G2M
662385,NTC,LMPP,G2M
469891,NTC,LMPP,G2M
459086,AZD,LMPP,G1
315744,NTC,LMPP,S
414068,NTC,LMPP,G2M
452488,NTC,LMPP,G2M
793320,NTC,LMPP,G2M
579339,NTC,LMPP,G2M
108274,AZD,LMPP,S
276462,NTC,LMPP,G2M
585632,NTC,LMPP,S
573398,AZD,LMPP,S
546302,AZD,LMPP,G2M
174380,AZD,LMPP,G2M
629679,NTC,LMPP,S
657515,NTC,LMPP,S
626416,G13,LMPP,G2M
30721,NTC,LMPP,G2M
312051,NTC,LMPP,S
217467,NTC,LMPP,G2M
507776,AZD,MEP1,G2M
241019,G13,LMPP,G2M
501127,NTC,LMPP,G2M
330206,NTC,LMPP,G2M
320762,NTC,LMPP,G2M
32389,AZD,LMPP,S
460681,NTC,LMPP,G2M
540074,NTC,LMPP,S
370034,G13,LMPP,S
21641,NTC,LMPP,G2M
457593,G13,LMPP,G2M
861138,G13,LMPP,G2M
163024,G13,LMPP,G2M
474834,AZD,LMPP,S
467956,G13,LMPP,G2M
582522,G13,LMPP,S
485268,AZD,LMPP,G2M
711223,AZD,LMPP,S
845219,AZD,MEP1,S
90482,AZD,LMPP,G2M
460782,NTC,LMPP,S
458979,G13,LMPP,G2M
505648,NTC,LMPP,S
834238,AZD,CMP,G1
838136,NTC,LMPP,G2M
311054,NTC,MEP1,G2M
442162,G13,LMPP,S
498041,G13,LMPP,G2M
616257,NTC,LMPP,G2M
510035,AZD,LMPP,S
72436,NTC,LMPP,G2M
266401,AZD,MEP1,G2M
610809,G13,LMPP,G2M
570309,G13,LMPP,S
74876,NTC,LMPP,S
12208,NTC,LMPP,S
422999,NTC,LMPP,S
505924,NTC,LMPP,S
139856,NTC,LMPP,S
57209,NTC,LMPP,G2M
