,Cells.all_samples.data.
1161,69_65_23
1162,69_65_29
1163,69_65_32
1164,69_65_40
1165,69_65_41
1166,69_65_71
1167,69_65_90
1168,69_65_92
1169,69_66_01
1170,69_66_13
1171,69_66_23
1172,69_66_55
1173,69_66_62
1174,69_66_65
1175,69_66_77
1176,69_66_80
1177,69_66_81
1178,69_66_96
1179,69_67_11
1180,69_67_12
1181,69_67_18
1182,69_67_27
1183,69_67_51
1184,69_67_53
1185,69_67_64
1186,69_67_74
1187,69_67_75
1188,69_67_81
1189,69_67_84
1190,69_68_39
1191,69_68_40
1192,69_68_45
1193,69_68_51
1194,69_68_76
1195,69_68_77
1196,69_68_83
1197,69_68_88
1198,69_68_93
1199,69_69_36
1200,69_69_42
1201,69_69_44
1202,69_69_49
1203,69_69_54
1204,69_69_63
1205,69_69_69
1206,69_69_72
1207,69_69_79
1208,69_69_87
1209,69_70_10
1210,69_70_30
1211,69_70_33
1212,69_70_35
1213,69_70_53
1214,69_70_69
1215,69_70_75
1216,69_70_87
1217,69_70_90
1218,69_70_92
1219,69_71_08
1220,69_71_43
1221,69_71_46
1222,69_71_57
1223,69_71_64
1224,69_71_89
1225,69_72_14
1226,69_72_37
1227,69_72_41
1228,69_72_46
1229,69_72_47
1230,69_72_49
1231,69_72_54
1232,69_72_56
1233,69_72_74
1234,69_72_82
1235,69_72_86
1236,69_72_95
1237,69_73_05
1238,69_73_28
1239,69_73_50
1240,69_73_55
1241,69_73_88
1242,69_73_89
1243,69_74_10
1244,69_74_38
1245,69_74_40
1246,69_74_72
1247,69_74_79
1248,69_75_08
1249,69_75_16
1250,69_75_17
1251,69_75_23
1252,69_75_42
1253,69_75_46
1254,69_75_55
1255,69_75_56
1256,69_75_63
1257,69_75_71
1258,69_75_73
1259,69_76_13
1260,69_76_15
1261,69_76_18
1262,69_76_29
1263,69_76_33
1264,69_76_55
1265,69_76_75
1266,69_76_80
1267,69_77_14
1268,69_77_47
1269,69_77_54
1270,69_77_59
1271,69_77_86
1272,69_77_91
1273,69_77_96
1274,69_78_11
1275,69_78_12
1276,69_78_40
1277,69_78_41
1278,69_78_61
1279,69_78_62
1280,69_78_86
1281,69_78_93
1282,69_78_94
1283,69_79_01
1284,69_79_06
1285,69_79_11
1286,69_79_23
1287,69_79_33
1288,69_79_61
1289,69_79_76
1290,69_79_77
1291,69_79_87
1292,69_80_11
1293,69_80_15
1294,69_80_37
1295,69_80_40
1296,69_80_44
1297,69_80_67
1298,69_80_70
1299,69_81_01
1300,69_81_04
1301,69_81_11
1302,69_81_32
1303,69_81_54
1304,69_81_59
1305,69_81_62
1306,69_81_65
1307,69_81_75
1308,69_81_81
1309,69_81_85
1310,69_81_86
1311,69_81_89
1312,69_81_90
1313,69_82_25
1314,69_82_27
1315,69_82_50
1316,69_82_63
1317,69_82_76
1318,69_83_06
1319,69_83_13
1320,69_83_15
1321,69_83_22
1322,69_83_39
1323,69_83_41
1324,69_83_53
1325,69_83_56
1326,69_83_83
1327,69_84_10
1328,69_84_11
1329,69_84_17
1330,69_84_27
1331,69_84_30
1332,69_84_41
1333,69_84_45
1334,69_84_57
1335,69_84_60
1336,69_84_61
1337,69_84_72
1338,69_84_93
1339,69_85_12
1340,69_85_23
1341,69_85_28
1342,69_85_30
1343,69_85_32
1344,69_85_38
1345,69_85_39
1346,69_85_41
1347,69_85_55
1348,69_85_59
1349,69_85_65
1350,69_85_72
1351,69_85_73
1352,69_85_75
1353,69_85_93
1354,69_85_95
1355,69_86_14
1356,69_86_22
1357,69_86_29
1358,69_86_43
1359,69_86_48
1360,69_86_51
1361,69_86_54
1362,69_86_62
1363,69_86_71
1364,69_86_77
1365,69_86_88
1366,69_87_31
1367,69_87_33
1368,69_87_34
1369,69_87_38
1370,69_87_44
1371,69_87_55
1372,69_87_57
1373,69_87_58
1374,69_87_66
1375,69_87_77
1376,69_87_79
1377,69_88_01
1378,69_88_04
1379,69_88_21
1380,69_88_43
1381,69_88_44
1382,69_88_47
1383,69_88_51
1384,69_88_53
1385,69_88_55
1386,69_88_73
1387,69_89_03
1388,69_89_04
1389,69_89_07
1390,69_89_11
1391,69_89_12
1392,69_89_35
1393,69_89_37
1394,69_89_41
1395,69_89_49
1396,69_89_56
1397,69_89_65
1398,69_89_93
1399,69_90_06
1400,69_90_11
1401,69_90_18
1402,69_90_22
1403,69_90_31
1404,69_90_35
1405,69_90_38
1406,69_90_39
1407,69_90_40
1408,69_90_46
1409,69_90_62
1410,69_90_72
1411,69_90_83
1412,69_90_92
1413,69_90_94
1414,69_90_95
1415,69_91_03
1416,69_91_16
1417,69_91_24
1418,69_91_32
1419,69_91_38
1420,69_91_53
1421,69_91_54
1422,69_91_62
1423,69_91_65
1424,69_91_73
1425,69_91_81
1426,69_91_90
1427,69_92_07
1428,69_92_20
1429,69_92_25
1430,69_92_39
1431,69_92_42
1432,69_92_59
1433,69_92_89
1434,69_93_12
1435,69_93_39
1436,69_93_50
1437,69_93_52
1438,69_93_60
1439,69_93_73
1440,70_01_11
1441,70_01_12
1442,70_01_42
1443,70_01_61
1444,70_01_70
1445,70_01_74
1446,70_01_86
1447,70_01_95
1448,70_02_48
1449,70_02_64
1450,70_02_71
1451,70_02_77
1452,70_02_82
1453,70_03_38
1454,70_03_45
1455,70_03_49
1456,70_03_50
1457,70_03_56
1458,70_03_74
1459,70_03_76
1460,70_03_85
1461,70_04_08
1462,70_04_20
1463,70_04_36
1464,70_04_38
1465,70_04_42
1466,70_04_50
1467,70_04_51
1468,70_04_69
1469,70_04_80
1470,70_04_94
1471,70_05_10
1472,70_05_39
1473,70_05_67
1474,70_05_70
1475,70_05_91
1476,70_06_05
1477,70_06_06
1478,70_06_08
1479,70_06_26
1480,70_06_32
1481,70_06_34
1482,70_06_35
1483,70_06_43
1484,70_06_45
1485,70_06_49
1486,70_06_67
1487,70_06_72
1488,70_06_75
1489,70_06_78
1490,70_06_83
1491,70_06_88
1492,70_07_05
1493,70_07_35
1494,70_07_55
1495,70_07_74
1496,70_07_80
1497,70_07_96
1498,70_08_09
1499,70_08_10
1500,70_08_15
1501,70_08_24
1502,70_08_36
1503,70_08_48
1504,70_08_53
1505,70_08_65
1506,70_08_75
1507,70_08_80
1508,70_09_13
1509,70_09_15
1510,70_09_34
1511,70_09_37
1512,70_09_40
1513,70_09_48
1514,70_09_53
1515,70_09_62
1516,70_09_75
1517,70_09_82
1518,70_09_88
1519,70_10_08
1520,70_10_16
1521,70_10_24
1522,70_10_29
1523,70_10_43
1524,70_10_47
1525,70_10_52
1526,70_10_55
1527,70_10_57
1528,70_10_58
1529,70_10_86
1530,70_10_93
1531,70_11_09
1532,70_11_15
1533,70_11_16
1534,70_11_56
1535,70_11_57
1536,70_11_58
1537,70_11_78
1538,70_11_82
1539,70_11_90
1540,70_11_96
1541,70_12_17
1542,70_12_22
1543,70_12_31
1544,70_12_34
1545,70_12_42
1546,70_12_44
1547,70_12_50
